USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 119700  5652 ?        Ss   Dec06   0:03 /sbin/init auto noprompt
root       1688  0.0  0.1  29736  2772 ?        Ss   Dec06   0:01 /lib/systemd/systemd-journald
root       1715  0.0  0.2  46184  5084 ?        Ss   Dec06   0:01 /lib/systemd/systemd-udevd
systemd+   2090  0.0  0.1 102384  2368 ?        Ssl  Dec06   0:00 /lib/systemd/systemd-timesyncd
avahi      3697  0.0  0.1  44920  2916 ?        Ss   Dec06   0:00 avahi-daemon: running [ubuntu.local]
root       3698  0.0  0.3 337332  8088 ?        Ssl  Dec06   0:00 /usr/sbin/ModemManager
root       3706  0.0  0.0   4400  1256 ?        Ss   Dec06   0:00 /usr/sbin/acpid
root       3708  0.0  0.1  36076  2880 ?        Ss   Dec06   0:00 /usr/sbin/cron -f
whoopsie   3715  0.0  0.6 386696 12376 ?        Ssl  Dec06   0:00 /usr/bin/whoopsie -f
syslog     3721  0.0  0.1 256396  2600 ?        Ssl  Dec06   0:00 /usr/sbin/rsyslogd -n
root       3746  0.0  0.1  29396  3824 ?        Ss   Dec06   0:00 /lib/systemd/systemd-logind
root       3748  0.0  0.4 173468  8216 ?        Ssl  Dec06   0:01 /usr/sbin/thermald --no-daemon --dbus-enable
root       3751  0.0  0.4 298448  9700 ?        Ssl  Dec06   0:00 /usr/lib/accountsservice/accounts-daemon
message+   3752  0.0  0.2  44256  4860 ?        Ss   Dec06   0:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
avahi      3806  0.0  0.0  44788    40 ?        S    Dec06   0:00 avahi-daemon: chroot helper
root       3822  0.0  0.3 274820  7936 ?        Ssl  Dec06   0:00 /usr/sbin/cups-browsed
root       3823  0.0  0.7 389032 16176 ?        Ssl  Dec06   0:00 /usr/sbin/NetworkManager --no-daemon
root       3829  0.0  0.6 277656 13452 ?        Ssl  Dec06   0:01 /usr/lib/snapd/snapd
root       3885  0.0  0.5 304500 10232 ?        Ssl  Dec06   0:00 /usr/lib/policykit-1/polkitd --no-debug
root       3901  0.0  0.3 292212  7760 ?        SLsl Dec06   0:00 /usr/sbin/lightdm
root       3919  0.3  3.6 352732 73576 tty7     Ss+  Dec06   1:38 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root       3950  0.0  0.1  16120  3644 ?        S    Dec06   0:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-ens33.pid -lf /var/lib/NetworkManager/dhclient-b85f9778-9541-4c92-8237-8e84c560cc7f-ens33.lease -cf /var/lib/NetworkManager/dhclient-ens33.conf ens33
nobody     3960  0.0  0.2  59936  4244 ?        S    Dec06   0:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root       4176  0.0  0.3 230296  6348 ?        Sl   Dec06   0:00 lightdm --session-child 12 19
rtkit      4240  0.0  0.1 183544  3152 ?        SNsl Dec06   0:00 /usr/lib/rtkit/rtkit-daemon
root       4261  0.0  0.5 354192 11996 ?        Ssl  Dec06   0:00 /usr/lib/upower/upowerd
colord     4280  0.0  0.6 320576 12576 ?        Ssl  Dec06   0:00 /usr/lib/colord/colord
boyet      4485  0.0  0.2  45364  4832 ?        Ss   Dec06   0:00 /lib/systemd/systemd --user
boyet      4486  0.0  0.0 145120  1128 ?        S    Dec06   0:00 (sd-pam)
boyet      4538  0.0  0.3 212284  6452 ?        Sl   Dec06   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
boyet      4547  0.0  0.2  53536  4716 ?        Ss   Dec06   0:03 /sbin/upstart --user
boyet      4639  0.0  0.0  39928   280 ?        S    Dec06   0:00 upstart-udev-bridge --daemon --user
boyet      4645  0.0  0.2  43780  4408 ?        Ss   Dec06   0:01 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-C8UIahnZgZ
boyet      4657  0.0  0.4  93416  8912 ?        Ss   Dec06   0:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
boyet      4681  0.0  0.0  39864   304 ?        S    Dec06   0:00 upstart-dbus-bridge --daemon --session --user --bus-name session
boyet      4683  0.0  0.0  39864   304 ?        S    Dec06   0:00 upstart-dbus-bridge --daemon --system --user --bus-name system
boyet      4691  0.0  0.0  48356   372 ?        S    Dec06   0:00 upstart-file-bridge --daemon --user
boyet      4702  0.0  0.4 365940  9340 ?        Ssl  Dec06   0:06 /usr/bin/ibus-daemon --daemonize --xim
boyet      4711  0.0  0.3 281592  6484 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfsd
boyet      4716  0.0  0.3 419960  7260 ?        Sl   Dec06   0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
boyet      4729  0.0  0.0 173608   692 ?        Ss   Dec06   0:00 gpg-agent --homedir /home/boyet/.gnupg --use-standard-socket --daemon
